Distance_(pixels),Gray_Value
0,8.000
1,8.000
2,8.000
3,8.000
4,8.000
5,8.000
6,8.000
7,8.000
8,8.000
9,8.000
10,8.000
11,8.000
12,8.000
13,8.000
14,8.000
15,8.000
16,8.542
17,8.729
18,8.667
19,8.667
20,9.073
21,9.667
22,9.667
23,10.234
24,10.667
25,10.667
26,10.667
27,10.667
28,10.667
29,10.667
30,10.667
31,11.209
32,11.667
33,11.667
34,11.667
35,11.667
36,11.650
37,10.955
38,11.040
39,11.870
40,13.260
41,13.667
42,13.273
43,12.670
44,12.491
45,12.779
46,13.633
47,14.893
48,16.228
49,17.520
50,17.763
51,18.289
52,20.220
53,23.008
54,24.896
55,26.549
56,28.260
57,30.491
58,34.395
59,38.167
60,44.729
61,54.496
62,60.179
63,69.290
64,75.978
65,73.104
66,73.054
67,82.141
68,93.225
69,102.312
70,106.731
71,111.932
72,126.609
73,136.655
74,147.394
75,146.124
76,146.059
77,155.173
78,167.171
79,173.746
80,181.151
81,184.993
82,179.215
83,187.132
84,201.640
85,201.248
86,181.864
87,174.645
88,173.181
89,189.088
90,210.178
91,214.095
92,201.671
93,187.459
94,180.088
95,179.473
96,187.311
97,181.998
98,155.380
99,145.149
100,152.595
101,155.448
102,158.831
103,151.870
104,140.895
105,123.845
106,131.216
107,148.567
108,137.047
109,116.804
110,101.013
111,85.061
112,78.030
113,71.845
114,66.512
115,63.299
116,60.789
117,60.376
118,62.333
119,70.811
120,79.822
121,86.411
122,88.999
123,98.621
124,109.226
125,112.396
126,113.859
127,129.399
128,156.215
129,158.680
130,179.411
131,211.648
132,222.512
133,197.127
134,188.365
135,193.559
136,190.552
137,190.580
138,184.842
139,188.289
140,193.109
141,177.395
142,158.241
143,153.412
144,156.897
145,162.324
146,167.247
147,168.592
148,155.058
149,150.762
150,138.687
151,125.422
152,116.183
153,106.913
154,102.895
155,87.046
156,87.357
157,90.520
158,91.624
159,91.297
160,86.891
161,78.272
162,63.592
163,52.691
164,45.639
165,42.538
166,34.836
167,30.013
168,27.387
169,24.969
170,22.896
171,20.009
172,17.625
173,16.161
174,14.407
175,12.701
176,11.040
177,10.500
178,9.717
179,8.726
180,7.776
181,7.333
182,6.791
183,5.785
184,5.667
185,5.107
186,4.667
187,4.667
188,4.667
189,4.667
190,4.667
191,4.667
192,4.667
193,4.667
194,4.667
195,4.667
196,4.667
197,4.667
198,4.667
199,4.667
200,4.667
201,4.215
202,4.000
203,4.000
204,4.000
205,4.000
206,4.000
207,4.000
208,4.000
209,4.000
210,4.000
211,4.000
212,4.000
213,4.000
214,4.000
215,4.000
216,4.000
217,4.000
218,4.000
219,4.000
220,4.000
221,4.000
222,4.000
223,4.000
224,4.000
225,4.000
226,4.000
227,4.000
228,4.000
229,4.000
230,4.000
231,4.000
232,4.000
233,4.000
234,4.000
235,3.695
236,3.000
