Distance_(pixels),Gray_Value
0,21.000
1,20.900
2,20.730
3,21.626
4,22.287
5,22.119
6,21.887
7,22.002
8,22.667
9,22.749
10,22.659
11,22.118
12,20.696
13,20.932
14,21.338
15,21.667
16,21.667
17,21.667
18,21.667
19,21.667
20,21.291
21,21.679
22,22.500
23,22.350
24,21.945
25,21.667
26,21.667
27,21.667
28,21.667
29,23.101
30,24.733
31,25.379
32,25.922
33,27.280
34,29.306
35,30.854
36,32.532
37,33.312
38,34.050
39,34.944
40,37.199
41,38.698
42,41.234
43,44.630
44,49.005
45,52.465
46,55.088
47,57.044
48,60.582
49,65.220
50,68.549
51,71.807
52,76.641
53,83.593
54,91.140
55,96.721
56,100.582
57,102.175
58,103.249
59,105.483
60,110.452
61,116.222
62,121.002
63,124.236
64,123.899
65,125.223
66,129.980
67,133.263
68,136.078
69,139.711
70,142.637
71,142.039
72,138.624
73,140.814
74,142.070
75,142.264
76,141.440
77,142.404
78,144.913
79,147.083
80,146.343
81,143.576
82,132.091
83,122.505
84,117.642
85,116.688
86,111.986
87,100.858
88,90.754
89,85.623
90,89.180
91,86.408
92,82.386
93,78.805
94,75.216
95,70.359
96,66.663
97,64.117
98,63.550
99,63.314
100,63.975
101,66.104
102,67.755
103,68.886
104,70.382
105,72.680
106,76.639
107,79.231
108,79.058
109,79.000
110,78.399
111,77.980
112,77.203
113,75.617
114,73.600
115,72.079
116,70.300
117,72.603
118,71.099
119,69.132
120,66.969
121,65.311
122,61.352
123,57.547
124,54.919
125,53.883
126,53.804
127,53.228
128,51.873
129,50.044
130,49.108
131,49.063
132,49.468
133,50.429
134,52.749
135,53.169
136,52.911
137,52.357
138,51.812
139,50.696
140,50.345
141,51.910
142,52.867
143,55.404
144,54.178
145,52.451
146,51.141
147,50.227
148,48.940
149,46.945
150,43.831
151,41.831
152,42.229
153,41.738
154,40.885
155,39.910
156,39.667
157,40.838
158,43.167
159,45.328
160,45.261
161,43.451
162,43.303
163,44.885
164,47.629
165,50.224
166,50.863
167,50.581
168,49.358
169,47.242
170,47.002
171,48.056
172,48.767
173,48.498
174,47.155
175,45.847
176,44.402
177,43.360
178,41.063
179,40.667
180,40.046
181,39.448
182,38.939
183,38.747
184,38.797
185,38.911
186,39.272
187,41.711
188,43.540
189,46.504
190,47.766
191,48.000
192,48.000
193,48.777
194,50.589
195,51.983
196,52.253
197,53.335
198,55.487
199,57.212
200,56.177
201,55.655
202,55.424
203,55.611
204,57.707
205,58.792
206,57.492
207,56.172
208,54.711
209,53.106
210,50.880
211,49.560
212,49.127
213,47.120
214,45.601
215,44.734
216,43.629
217,42.309
218,41.553
219,40.806
220,40.393
221,41.173
222,45.514
223,45.621
224,46.358
225,47.217
226,49.257
227,52.096
228,56.799
229,61.164
230,62.602
231,63.770
232,68.658
233,73.415
234,77.357
235,78.692
236,79.862
237,82.583
238,85.875
239,89.679
240,93.815
241,95.804
242,97.994
243,100.905
244,103.164
245,104.892
246,106.316
247,105.893
248,104.576
249,106.411
250,109.440
251,111.585
252,112.451
253,112.889
254,113.342
255,115.382
256,116.796
257,112.363
258,113.759
259,112.856
260,110.464
261,107.863
262,105.723
263,103.415
264,101.114
265,99.373
266,96.216
267,95.234
268,93.284
269,92.023
270,88.481
271,85.360
272,82.211
273,80.129
274,79.086
275,76.730
276,73.523
277,70.611
278,68.571
279,64.650
280,59.798
281,55.446
282,53.168
283,54.120
284,51.759
285,48.682
286,47.667
287,47.770
288,47.092
289,44.780
290,42.279
291,41.052
292,38.561
293,38.052
294,36.956
295,35.572
296,34.857
297,32.887
298,31.801
299,31.439
300,29.541
301,27.667
302,27.338
303,26.822
304,25.641
305,24.727
306,23.001
307,21.780
308,20.730
309,20.998
310,21.333
311,20.906
312,19.992
313,19.077
314,18.333
315,18.248
316,17.333
